art_id,self,value,mentalizing_reduced
1,12.66666667,12,12.88888889
2,12.5,13.2,12
3,10.33333333,9.777777778,9.222222222
4,4.5,5.1,6.6
5,9.75,8.625,10.375
6,13.85714286,12.85714286,14.14285714
7,3.833333333,4.333333333,5.666666667
8,10.33333333,10.08333333,7.666666667
9,11.875,12.625,13.625
10,12.75,10.125,11.375
11,11.875,10.5,13.625
12,8.727272727,9.090909091,8.818181818
13,11.18181818,10.18181818,9
14,13.11111111,12.66666667,14.44444444
15,9.75,11.5,9.083333333
16,9.444444444,10.33333333,10.66666667
17,10.21428571,11.71428571,9.857142857
18,10.85714286,11,9.428571429
19,12.33333333,11.83333333,12.16666667
20,11.36363636,11.36363636,11.27272727
21,11,10,13.11111111
22,12.90909091,12.54545455,11.18181818
23,9.230769231,9.307692308,8.230769231
24,9.545454545,9.181818182,8.727272727
25,9.181818182,8,10.27272727
26,11.3,9.3,7.3
27,11.09090909,10.63636364,10.81818182
28,11.3,9.5,10.7
29,7.888888889,8.888888889,7.333333333
30,10.125,11.25,9
31,13.83333333,11.33333333,13.25
32,10.5,10.5,11.8
33,11.25,9.333333333,10.75
34,9.6,13.2,13.4
35,8.666666667,11,9
36,7.692307692,9.153846154,9.692307692
37,10.77777778,10.88888889,10.88888889
38,11.8,11.2,12.8
39,9.75,8.875,11.125
40,10.18181818,9.727272727,11.09090909
41,11.66666667,10,9.555555556
42,9.307692308,10.38461538,8.846153846
43,8.833333333,9,9.166666667
44,6.818181818,7.545454545,6.181818182
45,7.444444444,9.111111111,9.333333333
46,12.57142857,14.14285714,13.71428571
47,9.333333333,11.25,8.75
48,11.25,10,10.6875
49,9.714285714,10.57142857,12.28571429
50,9.6,10.2,12.9
51,7.454545455,7.818181818,6.909090909
52,10.66666667,12.5,8.083333333
53,7.8,9.066666667,9.933333333
54,6.75,9.75,9.75
55,11.8,11.5,8.9
56,9.076923077,10.23076923,8.230769231
57,9.333333333,10.22222222,11.66666667
58,10,8.2,11.2
59,7.5,8.4,9
60,14.85714286,13.14285714,15.71428571
61,10.77777778,10.33333333,12.11111111
62,10.41666667,10,10.33333333
63,8.181818182,7.545454545,8.181818182
64,11.18181818,9.454545455,12
65,6.25,8.25,6.5
66,10.18181818,9.545454545,8.363636364
67,12.58333333,10.41666667,11.41666667
68,14.08333333,11.83333333,12.91666667
69,8,9.583333333,9.666666667
70,12.1,13.1,13
71,11.33333333,13,10.16666667
72,10.53333333,11.33333333,10.13333333
73,10.11111111,10.33333333,7.555555556
74,10.90909091,11.18181818,10.90909091
75,10.25,13,9.625
76,10.14285714,9,10.71428571
77,11.46666667,10.13333333,10.6
78,10.16666667,9.833333333,10.5
79,7.636363636,8.727272727,7.909090909
80,18,14.5,16.66666667