art_id,self,value,mentalizing_reduced,mean_share_rating_rank
1,12,12,11,21.5
2,8.5,8,9,21.5
3,NA,NA,NA,NA
4,6.666666667,5.5,5.333333333,63
5,3.25,2.75,4.5,14.5
6,8,8.285714286,8.571428571,75
7,6.684210526,5.842105263,6.631578947,16
8,7.444444444,8,7.333333333,34
9,9.5,9.375,9.125,67
10,11.25,11.25,10.5,25
11,7,5.5,6,1.5
12,8.428571429,7.571428571,9.714285714,53
13,5,5.166666667,3.333333333,44
14,5.75,8.75,5.5,74
15,7.153846154,7.615384615,6.692307692,32
16,7.3,5.3,6.9,4
17,10.33333333,9.666666667,9.833333333,38
18,6.75,6.25,6.5,18
19,8,9.75,9.5,38
20,6.75,7,6.25,51
21,6.75,9.25,7.25,29.5
22,8.777777778,9,7.666666667,55.5
23,7.428571429,7.714285714,8,9.5
24,6,5.833333333,6.666666667,19
25,7,7.25,7,29.5
26,11.5,12,9,72
27,7.333333333,9.666666667,8,12
28,4.5,4.5,9.5,70
29,6.583333333,7.083333333,5.583333333,9.5
30,6.3,5.5,4.6,14.5
31,9.333333333,10,9.333333333,62
32,8.166666667,7.416666667,7.583333333,24
33,5.928571429,5.714285714,6.928571429,54
34,7.333333333,5.333333333,7.666666667,44
35,8,9,8,13
36,7,4.846153846,6.384615385,21.5
37,10.75,8.75,10.25,65.5
38,5.8,6.6,7,33
39,8.111111111,7.333333333,6.888888889,5
40,3.5,6,4.5,6.5
41,8,10.75,7.5,59.5
42,7.833333333,9.333333333,9.833333333,26
43,6.25,5.5,6.25,28
44,NA,NA,NA,NA
45,7.571428571,7.714285714,7.142857143,44
46,5.666666667,3.333333333,3.666666667,51
47,7,7,6.5,6.5
48,7.090909091,8.454545455,6.636363636,38
49,9.666666667,8.833333333,10,8
50,8,8.75,9.25,38
51,NA,NA,NA,NA
52,6,6.625,6.625,55.5
53,4.555555556,4.555555556,5.555555556,27
54,7.9,7.7,8.6,72
55,7.833333333,8.166666667,8.5,46
56,6.571428571,7.571428571,7,17
57,7.875,5.875,6.75,42
58,3.833333333,5.166666667,3.833333333,57
59,6.8,6.466666667,6.133333333,31
60,9.25,8.25,8.75,51
61,7.2,8,7,72
62,9.75,9.5,10,48
63,6.266666667,7.333333333,6.133333333,21.5
64,8,8,8.2,48
65,5.4,4.9,6.8,61
66,1.5,2.5,2.5,38
67,8.1,8.6,8,58
68,9,7.666666667,8.166666667,11
69,6,6.285714286,6.714285714,38
70,7.428571429,8.357142857,7.928571429,68
71,4,5.857142857,6.428571429,3
72,6.875,6.875,7.625,64
73,9,10.6,9.8,69
74,7.090909091,7,7.272727273,38
75,10,10.5,11,1.5
76,8.5,8.75,8.5,65.5
77,10.25,8,7.75,48
78,NA,NA,NA,NA
79,8,9.5,8,76
80,9.4,8,8.9,59.5